text	split	label
مسایل اختلافی استحبابی امر بالمعروف لازم احکامی مجال اختلاف امر نهی ریش دستار مسایل قطعی اختلافی امر_بالمعروف واجب محاسبه‌ی حکام تعطیل اسلام توقف جهاد	train	religion
هموطنان عزیز تمنا مسافرت هواپیما کشتی قطار خوردرو شخصی ماه خودداری سردار_واجبی می‌خواد انتقام بگیره برادر_عرزشی_به_جنگ_نری_جاکشی	train	transport
معروف‌ترین غذاهای استانبول خوشمزه غذاهای ترکیه امتحان پین تاتی تورلیدر انلاین غذا استانبول استانبول_گردی ترکیه غذا_ترکی خوشمزه	train	lifestyle
ترند نزولی بیتکوین واضح شکسته میتونه فیک بریک برگرده اهداف پایین ببینه تثبیت مقاومت	train	tech
سلام امام مهربانم سلام نماینده خدا زمین سلام واجب الطاعه سلام ذخیره خدا سلام دستگیر دانا سلام یار غایب نظر سلام منجی بشریت اللهم_عجل_لولیک_الفرج سلام_هر_صبح_به_امام_حاضر	train	religion
کارگر ماه حقوق نگیرد فقر تحمل گرانی_تورم_بلای_جان_مردم فلاکت_عمومی	train	social
دوستان کار دانشجویی میدم ترجمه تایپ خلاصه_نویسی قیمتشم مناسبه لایک ریتوییت شم ممنونم کار_دانشجویی دانشجو	train	education
همت تولیدکنندگان داخلیه اقتصاد کشور دوام اورد حمایت دولت اقتصاد کشور اوضاع بهتری خواهد_داشت اقتصاد	train	economics
بازیکن هوادار پرسپولیس گل زدم محمدجواد محمدی واکنش سوال متوجه نشد توپ زده_است اظهار دیدم توپ رد دستم اوردم توپ دستم خورد محمدی خصوص قبول گلی زده مارادونایی خنده	train	sport
پیامبر صلی الله اله معلم برانگیخته کنزالعمال	train	education
چهارشنبهدی ادامه گسترش سیل رودبار جنوب روستا رودبار جنوب اب فرماندار رژیم رودبار جنوب روستای شهرستان رودبار مسدود روستای کوهستانی دسترسی سیل ایران	train	ecology
میگم اینده قضیه کرونا معیار ساخت سنجش کیو ملت !!! نه_به_واکسن_اجباری سیرک_کرونا	train	health
خبرنگاران اقتصادی توجه مثبت حضرات اقتصادی دولت مصاحبه بورس بنزین تومنی حذف ارز بپرسید	train	economics
مردین فایل ویدیو توضیحات فرستادین جر خوردم دانشگاه	train	education
فوری ریزش کوه گنو اثر زلزله ریشتری بندر عباس زلزله سرهم فاصله دقیقه جنوب ایران مرکز بندرعباس لرزاند اولی ریشتر دومی ریشتر زلزله_بندرعباس	train	ecology
طرز تهیه جواهرپلو خانه‌داری خانه_داری اشپزی وگان وگن گیاهخواری گیاه_خواری	train	lifestyle
غذای مفید تقویت هضم سلامت گوارش غذا غذای_مفید هضم گوارش تقویت	train	lifestyle
اینجا‌ فردی بقای خانواده‌اش جان می‌فروشد فروش قلب فروش زندگی اوردند فقر زندگی قلب	train	social
ولادت حضرت فاطمه_الزهراا سلام الله علیها دوستان عزیزانی توییت خوانند بانوان عفیف مهربان سرزمینم تبریک شادباش عرض شک بانوان مادران ایرانی سرامد زنان جهان نجابت نوعدوستی هنر وقار روز_زن روز_مادر	train	social
